co_acesso,codigo,dt_ini_operacao,ic_participa_compe,ispb,no_extenso,nome
RSFN,40.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,3609817,Banco Cargill S.A.,BCO CARGILL S.A.
RSFN,190.0,"time.struct_time(tm_year=2017, tm_mon=10, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=289, tm_isdst=-1)",Não,3973814,Cooperativa de Economia e Crédito Mútuo dos Servidores Públicos Estaduais do Rio,SERVICOOP
RSFN,63.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,4184779,Banco Bradescard S.A.,BANCO BRADESCARD
RSFN,191.0,"time.struct_time(tm_year=2017, tm_mon=6, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=173, tm_isdst=-1)",Não,4257795,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.,NOVA FUTURA CTVM LTDA.
RSFN,64.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,4332281,Goldman Sachs do Brasil  Banco Múltiplo S. A.,GOLDMAN SACHS DO BRASIL BM S.A
RSFN,,"time.struct_time(tm_year=2002, tm_mon=11, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=331, tm_isdst=-1)",Não,4391007,Câmara Interbancária de Pagamentos,CIP Sitraf
RSFN,97.0,"time.struct_time(tm_year=2011, tm_mon=2, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=39, tm_isdst=-1)",Sim,4632856,Cooperativa Central de Crédito Noroeste Brasileiro Ltda - CentralCredi,CCC NOROESTE BRASILEIRO LTDA.
RSFN,16.0,"time.struct_time(tm_year=2012, tm_mon=5, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=129, tm_isdst=-1)",Não,4715685,Coop de Créd. Mútuo dos Despachantes de Trânsito de SC e Rio Grande do Sul,CCM DESP TRÂNS SC E RS
RSFN,12.0,"time.struct_time(tm_year=2017, tm_mon=5, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",Não,4866275,Banco Inbursa S.A.,BANCO INBURSA
RSFN,3.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,4902979,Banco da Amazônia S.A.,BCO DA AMAZONIA S.A.
Internet,60.0,"time.struct_time(tm_year=2010, tm_mon=9, tm_mday=21, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=264, tm_isdst=-1)",Não,4913129,Confidence Corretora de Câmbio S.A.,CONFIDENCE CC S.A.
RSFN,37.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,4913711,Banco do Estado do Pará S.A.,BCO DO EST. DO PA S.A.
Internet,159.0,"time.struct_time(tm_year=2017, tm_mon=9, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=247, tm_isdst=-1)",Não,5442029,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor,CASA CREDITO S.A. SCM
Internet,172.0,"time.struct_time(tm_year=2017, tm_mon=9, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=257, tm_isdst=-1)",Não,5452073,Albatross Corretora de Câmbio e Valores S.A,ALBATROSS CCV S.A
RSFN,85.0,"time.struct_time(tm_year=2010, tm_mon=5, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=137, tm_isdst=-1)",Sim,5463212,Cooperativa Central de Crédito Urbano - Cecred,CCC CECRED
RSFN,114.0,"time.struct_time(tm_year=2011, tm_mon=10, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=300, tm_isdst=-1)",Sim,5790149,Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO
RSFN,36.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,6271464,Banco Bradesco BBI S.A.,BCO BBI S.A.
RSFN,394.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,7207996,Banco Bradesco Financiamentos S.A.,BCO BRADESCO FINANC. S.A.
RSFN,4.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,7237373,Banco do Nordeste do Brasil S.A.,BCO DO NORDESTE DO BRASIL S.A.
RSFN,320.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,7450604,China Construction Bank (Brasil) Banco Múltiplo S/A,BCO CCB BRASIL S.A.
RSFN,189.0,"time.struct_time(tm_year=2017, tm_mon=6, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=156, tm_isdst=-1)",Não,7512441,"HS Financeira S/A Crédito, Financiamento e Investimentos",HS FINANCEIRA
RSFN,105.0,"time.struct_time(tm_year=2011, tm_mon=12, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=-1)",Não,7652226,"Lecca Crédito, Financiamento e Investimento S/A",LECCA CFI S.A.
RSFN,76.0,"time.struct_time(tm_year=2006, tm_mon=4, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=100, tm_isdst=-1)",Não,7656500,Banco KDB do Brasil S.A.,BCO KDB BRASIL S.A.
RSFN,82.0,"time.struct_time(tm_year=2009, tm_mon=6, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=163, tm_isdst=-1)",Não,7679404,Banco Topazio S.A.,BANCO TOPÁZIO S.A.
RSFN,93.0,"time.struct_time(tm_year=2010, tm_mon=11, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=313, tm_isdst=-1)",Não,7945233,Pólocred Sociedade de Crédito ao Microempreendedor e à Empresa de Pequeno Porte,PÓLOCRED SCMEPP LTDA.
RSFN,157.0,"time.struct_time(tm_year=2016, tm_mon=2, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=43, tm_isdst=-1)",Não,9105360,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.,ICAP DO BRASIL CTVM LTDA.
Internet,183.0,"time.struct_time(tm_year=2017, tm_mon=6, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=163, tm_isdst=-1)",Não,9210106,Socred S.A. - Sociedade de Crédito ao Microempreendedor,SOCRED S.A. SCM
RSFN,14.0,"time.struct_time(tm_year=2008, tm_mon=8, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=221, tm_isdst=-1)",Não,9274232,Natixis Brasil S.A. Banco Múltiplo,NATIXIS BRASIL S.A. BM
RSFN,130.0,"time.struct_time(tm_year=2013, tm_mon=8, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=224, tm_isdst=-1)",Não,9313766,"Caruana S.A. Sociedade de Crédito, Financiamento e Investimento",CARUANA SCFI
Internet,127.0,"time.struct_time(tm_year=2012, tm_mon=11, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=314, tm_isdst=-1)",Não,9512542,Codepe Corretora de Valores e Câmbio S.A.,CODEPE CVC S.A.
RSFN,79.0,"time.struct_time(tm_year=2008, tm_mon=7, tm_mday=25, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=207, tm_isdst=-1)",Sim,9516419,Banco Original do Agronegócio S.A.,BCO ORIGINAL DO AGRO S/A
RSFN,81.0,"time.struct_time(tm_year=2008, tm_mon=10, tm_mday=24, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=298, tm_isdst=-1)",Não,10264663,BBN Banco Brasileiro de Negocios S.A.,BBN BCO BRASILEIRO DE NEGOCIOS S.A.
RSFN,133.0,"time.struct_time(tm_year=2016, tm_mon=5, tm_mday=2, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=123, tm_isdst=-1)",Sim,10398952,Confederação Nacional das Cooperativas Centrais de Crédito e Economia Familiar e,CRESOL CONFEDERAÇÃO
RSFN,121.0,"time.struct_time(tm_year=2012, tm_mon=4, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=95, tm_isdst=-1)",Sim,10664513,Banco Agibank S.A.,BCO AGIBANK S.A.
RSFN,83.0,"time.struct_time(tm_year=2009, tm_mon=7, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=195, tm_isdst=-1)",Sim,10690848,Banco da China Brasil S.A.,BCO DA CHINA BRASIL S.A.
Internet,138.0,"time.struct_time(tm_year=2014, tm_mon=7, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=195, tm_isdst=-1)",Não,10853017,Get Money Corretora de Câmbio S.A.,GET MONEY CC LTDA
RSFN,24.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,10866788,Banco Bandepe S.A.,BCO BANDEPE S.A.
RSFN,95.0,"time.struct_time(tm_year=2010, tm_mon=6, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=173, tm_isdst=-1)",Não,11703662,Banco Confidence de Câmbio S.A.,BCO CONFIDENCE DE CÂMBIO S.A.
RSFN,94.0,"time.struct_time(tm_year=2010, tm_mon=8, tm_mday=23, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=235, tm_isdst=-1)",Sim,11758741,Banco Finaxis S.A.,BANCO FINAXIS
RSFN,118.0,"time.struct_time(tm_year=2011, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=269, tm_isdst=-1)",Não,11932017,Standard Chartered Bank (Brasil) S.A. Banco de Investimento,STANDARD CHARTERED BI S.A.
Internet,137.0,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=330, tm_isdst=-1)",Não,12586596,Multimoney Corretora de Câmbio Ltda,MULTIMONEY CC LTDA.
RSFN,92.0,"time.struct_time(tm_year=2010, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=182, tm_isdst=-1)",Não,12865507,"BRK S.A. Crédito, Financiamento e Investimento",BRK S.A. CFI
RSFN,47.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,13009717,Banco do Estado de Sergipe S.A.,BCO DO EST. DE SE S.A.
RSFN,144.0,"time.struct_time(tm_year=2016, tm_mon=5, tm_mday=23, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=144, tm_isdst=-1)",Não,13059145,Bexs Banco de Câmbio S.A.,BEXS BCO DE CAMBIO S.A.
RSFN,126.0,"time.struct_time(tm_year=2013, tm_mon=1, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=4, tm_isdst=-1)",Não,13220493,BR Partners Banco de Investimento S.A.,BR PARTNERS BI
RSFN,173.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=333, tm_isdst=-1)",Não,13486793,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.,BRL TRUST DTVM SA
RSFN,119.0,"time.struct_time(tm_year=2011, tm_mon=10, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=283, tm_isdst=-1)",Não,13720915,Banco Western Union do Brasil S.A.,BCO WESTERN UNION
RSFN,254.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,14388334,Parana Banco S. A.,PARANA BCO S.A.
RSFN,268.0,"time.struct_time(tm_year=2017, tm_mon=12, tm_mday=21, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=355, tm_isdst=-1)",Não,14511781,Barigui Companhia Hipotecária,BARIGUI CH
RSFN,107.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,15114366,Banco Bocom BBM S.A.,BCO BOCOM BBM S.A.
RSFN,412.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,15173776,Banco Capital S. A.,BCO CAPITAL S.A.
RSFN,124.0,"time.struct_time(tm_year=2012, tm_mon=8, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=222, tm_isdst=-1)",Sim,15357060,Banco Woori Bank do Brasil S.A.,BCO WOORI BANK DO BRASIL S.A.
RSFN,149.0,"time.struct_time(tm_year=2015, tm_mon=7, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=189, tm_isdst=-1)",Não,15581638,Facta Financeira S.A. - Crédito Financiamento e Investimento,FACTA S.A. CFI
RSFN,197.0,"time.struct_time(tm_year=2017, tm_mon=10, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=291, tm_isdst=-1)",Não,16501555,Stone Pagamentos S.A.,STONE PAGAMENTOS S.A.
RSFN,142.0,"time.struct_time(tm_year=2015, tm_mon=6, tm_mday=23, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=174, tm_isdst=-1)",Não,16944141,Broker Brasil Corretora de Câmbio Ltda.,BROKER BRASIL CC LTDA.
RSFN,389.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,17184037,Banco Mercantil do Brasil S.A.,BCO MERCANTIL DO BRASIL S.A.
RSFN,184.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,17298092,Banco Itaú BBA S.A.,BCO ITAÚ BBA S.A.
RSFN,634.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,17351180,Banco Triângulo S.A.,BCO TRIANGULO S.A.
Internet,545.0,"time.struct_time(tm_year=2010, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=270, tm_isdst=-1)",Não,17352220,Senso Corretora de Câmbio e Valores Mobiliários S.A.,SENSO CCVM S.A.
RSFN,132.0,"time.struct_time(tm_year=2013, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=269, tm_isdst=-1)",Sim,17453575,ICBC do Brasil Banco Múltiplo S.A.,ICBC DO BRASIL BM S.A.
RSFN,260.0,"time.struct_time(tm_year=2017, tm_mon=10, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=283, tm_isdst=-1)",Não,18236120,Nu Pagamentos S.A.,NU PAGAMENTOS S.A.
RSFN,129.0,"time.struct_time(tm_year=2014, tm_mon=3, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=71, tm_isdst=-1)",Não,18520834,UBS Brasil Banco de Investimento S.A.,UBS BRASIL BI S.A.
RSFN,128.0,"time.struct_time(tm_year=2015, tm_mon=4, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=117, tm_isdst=-1)",Não,19307785,MS Bank S.A. Banco de Câmbio,MS BANK S.A. BCO DE CÂMBIO
RSFN,194.0,"time.struct_time(tm_year=2017, tm_mon=10, tm_mday=25, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=298, tm_isdst=-1)",Não,20155248,Parmetal Distribuidora de Títulos e Valores Mobiliários Ltda.,PARMETAL DTVM LTDA
RSFN,163.0,"time.struct_time(tm_year=2016, tm_mon=8, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=223, tm_isdst=-1)",Sim,23522214,Commerzbank Brasil S.A. - Banco Múltiplo,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO
Internet,146.0,"time.struct_time(tm_year=2015, tm_mon=5, tm_mday=20, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=140, tm_isdst=-1)",Não,24074692,Guitta Corretora de Câmbio Ltda.,GUITTA CC LTDA
RSFN,182.0,"time.struct_time(tm_year=2017, tm_mon=8, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=221, tm_isdst=-1)",Não,27406222,"Dacasa Financeira S/A - Sociedade de Crédito, Financiamento e Investimento",DACASA FINANCEIRA S/A - SCFI
Internet,271.0,"time.struct_time(tm_year=2018, tm_mon=2, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=57, tm_isdst=-1)",Não,27842177,"IB Corretora de Câmbio, Títulos e Valores Mobiliários Ltda.",IB CCTVM LTDA
RSFN,21.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,28127603,Banestes S.A. Banco do Estado do Espírito Santo,BCO BANESTES S.A.
RSFN,246.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,28195667,Banco ABC Brasil S.A.,BCO ABC BRASIL S.A.
RSFN,,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,28719664,"B3 SA - Brasil, Bolsa, Balcão - Segmento Cetip UTVM",B3 Cetip
RSFN,,"time.struct_time(tm_year=2012, tm_mon=1, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=30, tm_isdst=-1)",Não,29011780,Câmara Interbancária de Pagamentos - CIP C3,CIP C3
RSFN,751.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,29030467,Scotiabank Brasil S.A. Banco Múltiplo,SCOTIABANK BRASIL
RSFN,208.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,30306294,Banco BTG Pactual S.A.,BANCO BTG PACTUAL S.A.
RSFN,746.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,30723886,Banco Modal S.A.,BCO MODAL S.A.
RSFN,241.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,31597552,Banco Clássico S.A.,BCO CLASSICO S.A.
RSFN,612.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,31880826,Banco Guanabara S.A.,BCO GUANABARA S.A.
RSFN,604.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,31895683,Banco Industrial do Brasil S.A.,BCO INDUSTRIAL DO BRASIL S.A.
RSFN,505.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,32062580,Banco Credit Suisse (Brasil) S.A.,BCO CREDIT SUISSE (BRL) S.A.
Internet,196.0,"time.struct_time(tm_year=2017, tm_mon=9, tm_mday=11, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=254, tm_isdst=-1)",Não,32648370,Fair Corretora de Câmbio S.A.,FAIR CC S.A.
RSFN,300.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33042151,Banco de la Nacion Argentina,BCO LA NACION ARGENTINA
RSFN,477.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33042953,Citibank N.A.,CITIBANK N.A.
RSFN,266.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33132044,Banco Cédula S.A.,BCO CEDULA S.A.
RSFN,122.0,"time.struct_time(tm_year=2011, tm_mon=11, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=312, tm_isdst=-1)",Sim,33147315,Banco Bradesco BERJ S.A.,BCO BRADESCO BERJ S.A.
RSFN,376.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33172537,Banco J. P. Morgan S. A.,BCO J.P. MORGAN S.A.
RSFN,473.0,"time.struct_time(tm_year=2009, tm_mon=3, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=90, tm_isdst=-1)",Sim,33466988,Banco Caixa Geral - Brasil S.A.,BCO CAIXA GERAL BRASIL S.A.
RSFN,745.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33479023,Banco Citibank S.A.,BCO CITIBANK S.A.
RSFN,120.0,"time.struct_time(tm_year=2012, tm_mon=2, tm_mday=6, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=37, tm_isdst=-1)",Sim,33603457,Banco Rodobens SA,BCO RODOBENS S.A.
RSFN,265.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33644196,Banco Fator S.A.,BCO FATOR S.A.
RSFN,7.0,"time.struct_time(tm_year=2014, tm_mon=6, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=181, tm_isdst=-1)",Não,33657248,Banco Nacional de Desenvolvimento Econômico e Social BNDES,BNDES
RSFN,188.0,"time.struct_time(tm_year=2017, tm_mon=7, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=209, tm_isdst=-1)",Não,33775974,Ativa Investimentos S.A. Corretora de Títulos Câmbio e Valores,ATIVA S.A. INVESTIMENTOS CCTVM
RSFN,134.0,"time.struct_time(tm_year=2014, tm_mon=7, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=209, tm_isdst=-1)",Não,33862244,BGC Liquidez Distribuidora de Títulos e Valores Mobiliários Ltda.,BGC LIQUIDEZ DTVM LTDA
RSFN,641.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,33870163,Banco Alvorada S.A.,BCO ALVORADA S.A.
RSFN,719.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33884941,Banif - Bco Internacional do Funchal (Brasil) S.A.,BANIF BRASIL BM S.A.
RSFN,29.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,33885724,Banco Itaú Consignado S.A.,BANCO ITAÚ CONSIGNADO S.A.
RSFN,135.0,"time.struct_time(tm_year=2016, tm_mon=5, tm_mday=2, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=123, tm_isdst=-1)",Não,33918160,"Gradual Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",GRADUAL CCTVM S.A.
RSFN,243.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,33923798,Banco Máxima S.A.,BCO MÁXIMA S.A.
RSFN,78.0,"time.struct_time(tm_year=2008, tm_mon=7, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=213, tm_isdst=-1)",Não,34111187,Haitong Banco de Investimento do Brasil S.A.,HAITONG BI DO BRASIL S.A.
RSFN,111.0,"time.struct_time(tm_year=2011, tm_mon=3, tm_mday=24, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=83, tm_isdst=-1)",Não,36113876,Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.,OLIVEIRA TRUST DTVM S.A.
RSFN,17.0,"time.struct_time(tm_year=2012, tm_mon=11, tm_mday=19, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=324, tm_isdst=-1)",Sim,42272526,BNY Mellon Banco S.A.,BNY MELLON BCO S.A.
RSFN,174.0,"time.struct_time(tm_year=2017, tm_mon=11, tm_mday=21, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=325, tm_isdst=-1)",Não,43180355,"Pernambucanas Financiadora S.A. Crédito, Financiamento e Investimento",PERNAMBUCANAS FINANC S.A. CFI
RSFN,495.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,44189447,Banco de La Provincia de Buenos Aires,BCO LA PROVINCIA B AIRES BCE
